time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-02T23:32:25.662Z,43.6513,-127.4209,10,3,ml,,227,2.385,0.85,us,us70005ba3,2019-11-15T17:22:06.040Z,"251km WNW of Bandon, Oregon",earthquake,8.7,2,0.043,72,reviewed,us,us
2019-09-01T01:52:11.846Z,43.5558,-127.7452,10,3.1,ml,,256,2.585,0.81,us,us70005are,2019-11-15T17:21:11.040Z,"274km WNW of Bandon, Oregon",earthquake,5.2,2,0.042,74,reviewed,us,us
2019-08-30T19:08:04.034Z,43.5194,-127.7114,10,2.9,ml,,247,2.552,0.81,us,us70005ad5,2019-11-15T17:20:39.040Z,"271km W of Bandon, Oregon",earthquake,9.4,2,0.043,72,reviewed,us,us
2019-08-29T15:07:58.646Z,43.5425,-127.8817,10,6.3,mww,,31,2.678,1.17,us,us700059qh,2020-02-27T15:18:07.880Z,"285km W of Bandon, Oregon",earthquake,6.9,1.8,0.04,60,reviewed,us,us
2019-08-23T03:31:36.404Z,40.4095,-126.8028,10,3.3,ml,,228,1.882,1.03,us,us700057el,2019-11-08T22:13:42.040Z,"216km W of Ferndale, California",earthquake,5.1,2,0.042,75,reviewed,us,us
2019-08-16T07:27:00.066Z,43.1336,-126.6236,10,3.8,mb,,205,1.699,0.76,us,us600055tw,2019-11-02T15:26:09.040Z,"178km WNW of Port Orford, Oregon",earthquake,9,2,0.123,17,reviewed,us,us
2019-08-15T03:16:03.794Z,43.1414,-126.3857,10,4.1,mb,,194,1.528,0.85,us,us6000559e,2019-11-02T15:26:06.040Z,"160km W of Bandon, Oregon",earthquake,7.9,2,0.103,26,reviewed,us,us
2019-08-11T01:48:13.440Z,40.1108333,-125.1305,9.63,2.61,md,13,336,0.629,0.16,nc,nc73247166,2019-08-14T02:38:03.393Z,"76km WSW of Petrolia, CA",earthquake,3.26,3.56,0.142,25,reviewed,nc,nc
2019-08-11T01:41:32.540Z,40.4143333,-125.199,-0.17,2.91,md,52,242,0.6603,0.24,nc,nc73247146,2019-10-29T20:33:57.040Z,"78km W of Petrolia, CA",earthquake,1.78,8.17,0.179,41,reviewed,nc,nc
2019-08-08T16:53:29.400Z,40.4121667,-125.606,23.09,2.93,md,20,303,0.9702,0.28,nc,nc73244886,2019-08-10T05:43:42.358Z,"112km W of Petrolia, CA",earthquake,6.14,23.76,0.122,33,reviewed,nc,nc
